incident_id;datum;country_id;region_id;subregion_id;ort;elevation;latitude;longitude;incline;aspect_id;danger_id;n_injured;n_dead;n_uninjured;involved_sum;involved;valid_time;revision
395;2015-01-07 14:42:00;1;1;174;Pfaffenbichl;2320;47.24306;11.75602;40;2;3;1;1;0;2;yes;true;2
398;2015-01-01 12:45:00;1;1;175;Kreuzjoch - Gerlosberg;24;47.24993;11.97953;38;6;3;1;0;2;3;yes;true;1
399;2015-01-01 12:19:00;1;1;173;Geier;2400;47.14939;11.63998;35;3;3;1;0;1;2;yes;true;1
406;2015-01-24 11:29:00;12;38;58;Veľký Hang, Malá studená dolina, Vysoké Tatry;1750;49.18625;20.20219;35;4;2;1;0;4;5;yes;true;1
408;2014-12-31 15:10:00;1;1;177;Gaislachkogel;2260;46.94827;10.98552;40;3;3;0;0;0;0;yes;true;1
409;2014-12-31 12:00:00;1;1;171;Nauders;2350;46.85185;10.53839;38;6;3;0;0;0;0;yes;true;1
410;2015-01-25 16:15:00;1;8;74;Gemeindealpe;;47.8109;15.26242;;1;2;1;0;2;3;yes;true;1
413;2015-01-28 12:22:00;1;1;160;Wankspitze;2200;47.33748;10.93849;35;5;3;0;0;1;1;yes;true;1
414;2015-01-27 15:00:00;1;5;148;Grabnerspitz;1450;47.46962;14.85028;35;4;3;0;0;1;1;yes;true;1
415;2015-02-01 11:50:00;1;1;164;Knoppenjochspitze / Mattunschrofen;2310;47.15902;10.22875;;;3;0;0;0;0;yes;true;1
416;2015-01-01 11:59:00;1;1;172;Axamer Lizum / Hoadl;2280;47.18504;11.28181;50;2;3;0;0;5;5;yes;true;1
417;2015-01-23 14:32:00;1;1;184;Rotes Ginggele;2350;46.83847;12.3613;35;6;2;0;0;0;0;yes;true;1
418;2015-01-25 13:30:00;1;5;150;Gamseck (Raxgebiet);1200;47.70133;15.66149;30;7;3;0;0;0;0;yes;true;1
420;2015-01-28 13:05:00;1;2;81;Matona / Westseite;1900;47.29611;9.78441;45;7;3;2;0;3;5;yes;true;1
422;2015-01-28 11:25:00;1;2;83;"Sulzekopf / \Herzle\""";2170;47.22289;10.10988;47;3;3;1;0;0;1;yes;true;1
