Stationsmessort:	Beobachter
Stationsname:	Beobachtung Mooserboden
Stationsnummer:	AT-5-LWD-103015-4
Lokale Koordinaten X:	403193,099709
Lokale Koordinaten Y:	225603,090275
MPH:	2070
Parametername:	WG mit Verfrachtung
Parametertyp:	WSpeed
Name des Parametertyps:	Windgeschwindigkeit
Name der Zeitreihe:	5644436/AT-5-LWD-103015-4/WGmitV/Cmd
Einheit der Zeitreihe:	Bft
Regionale Koordinaten X:	-46806,900291
Regionale Koordinaten Y:	225603,090275
Geografische Länge:	12,715257
Geografische Breite:	47,167737
Datum;Uhrzeit;Wert[Bft];Status des Werts
18.02.1994;16:00:00;---;Ungeprüft
18.02.1994;22:00:00;---;Ungeprüft
19.02.1994;07:00:00;---;Ungeprüft
19.02.1994;10:00:00;---;Ungeprüft
19.02.1994;16:00:00;---;Ungeprüft
19.02.1994;22:00:00;---;Ungeprüft
20.02.1994;07:00:00;---;Ungeprüft
20.02.1994;10:00:00;---;Ungeprüft
20.02.1994;16:00:00;---;Ungeprüft
20.02.1994;22:00:00;---;Ungeprüft
21.02.1994;07:00:00;---;Ungeprüft
21.02.1994;10:00:00;---;Ungeprüft
21.02.1994;16:00:00;---;Ungeprüft
21.02.1994;22:00:00;---;Ungeprüft
22.02.1994;07:00:00;---;Ungeprüft
22.02.1994;10:00:00;---;Ungeprüft
22.02.1994;16:00:00;---;Ungeprüft
22.02.1994;22:00:00;---;Ungeprüft
23.02.1994;07:00:00;---;Ungeprüft
23.02.1994;10:00:00;---;Ungeprüft
23.02.1994;16:00:00;---;Ungeprüft
23.02.1994;22:00:00;---;Ungeprüft
24.02.1994;07:00:00;1;Ungeprüft
24.02.1994;10:00:00;1;Ungeprüft
24.02.1994;16:00:00;1;Ungeprüft
24.02.1994;22:00:00;3;Ungeprüft
25.02.1994;07:00:00;---;Ungeprüft
25.02.1994;10:00:00;---;Ungeprüft
25.02.1994;16:00:00;---;Ungeprüft
25.02.1994;22:00:00;---;Ungeprüft
26.02.1994;07:00:00;---;Ungeprüft
26.02.1994;10:00:00;---;Ungeprüft
26.02.1994;16:00:00;---;Ungeprüft
26.02.1994;22:00:00;---;Ungeprüft
27.02.1994;07:00:00;---;Ungeprüft
27.02.1994;10:00:00;---;Ungeprüft
27.02.1994;16:00:00;---;Ungeprüft
27.02.1994;22:00:00;---;Ungeprüft
28.02.1994;07:00:00;---;Ungeprüft
28.02.1994;10:00:00;---;Ungeprüft
28.02.1994;16:00:00;---;Ungeprüft
28.02.1994;22:00:00;---;Ungeprüft
01.03.1994;07:00:00;---;Ungeprüft
01.03.1994;10:00:00;---;Ungeprüft
01.03.1994;16:00:00;---;Ungeprüft
01.03.1994;22:00:00;---;Ungeprüft
02.03.1994;07:00:00;---;Ungeprüft
02.03.1994;10:00:00;---;Ungeprüft
02.03.1994;16:00:00;---;Ungeprüft
02.03.1994;22:00:00;---;Ungeprüft
03.03.1994;07:00:00;---;Ungeprüft
03.03.1994;10:00:00;---;Ungeprüft
03.03.1994;16:00:00;---;Ungeprüft
